date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:25	94919/94919	---M-Z	200	added ('OK')	text/html	etag:%22172c7-5d5a0cf5cc380-gzip%22	https://koki.dexignzone.com/xhtml/order-list.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/order-list.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:25	104878/104878	---M-Z	200	added ('OK')	text/html	etag:%22199ae-5d5a0d5342000-gzip%22	https://koki.dexignzone.com/xhtml/customer-list.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/customer-list.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:26	68269/68269	---M-Z	200	added ('OK')	text/html	etag:%2210aad-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/post-details.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/post-details.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:26	62742/62742	---M-Z	200	added ('OK')	text/html	etag:%22f516-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/email-compose.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/email-compose.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:26	65784/65784	---M-Z	200	added ('OK')	text/html	etag:%22100f8-5d59f35ff6680-gzip%22	https://koki.dexignzone.com/xhtml/email-read.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/email-read.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:26	62906/62906	---M-Z	200	added ('OK')	text/html	etag:%22f5ba-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/app-calender.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/app-calender.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:27	67335/67335	---M-Z	200	added ('OK')	text/html	etag:%2210707-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ecom-product-grid.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-product-grid.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:27	74498/74498	---M-Z	200	added ('OK')	text/html	etag:%2212302-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ecom-product-list.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-product-list.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:27	66047/66047	---M-Z	200	added ('OK')	text/html	etag:%22101ff-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ecom-product-detail.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-product-detail.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:27	97574/97574	---M-Z	200	added ('OK')	text/html	etag:%2217d26-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ecom-product-order.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-product-order.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:27	72512/72512	---M-Z	200	added ('OK')	text/html	etag:%2211b40-5d59d0d766d00-gzip%22	https://koki.dexignzone.com/xhtml/ecom-checkout.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-checkout.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:28	64184/64184	---M-Z	200	added ('OK')	text/html	etag:%22fab8-5d5a16cd67c00-gzip%22	https://koki.dexignzone.com/xhtml/ecom-invoice.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-invoice.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:28	110881/110881	---M-Z	200	added ('OK')	text/html	etag:%221b121-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ecom-customers.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ecom-customers.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:28	62074/62074	---M-Z	200	added ('OK')	text/html	etag:%22f27a-5d59d0db37600-gzip%22	https://koki.dexignzone.com/xhtml/chart-flot.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-flot.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:28	60386/60386	---M-Z	200	added ('OK')	text/html	etag:%22ebe2-5d59d0db37600-gzip%22	https://koki.dexignzone.com/xhtml/chart-morris.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-morris.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:29	64724/64724	---M-Z	200	added ('OK')	text/html	etag:%22fcd4-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/chart-chartjs.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-chartjs.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:29	70051/70051	---M-Z	200	added ('OK')	text/html	etag:%22111a3-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/chart-chartist.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-chartist.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:29	61736/61736	---M-Z	200	added ('OK')	text/html	etag:%22f128-5d59d0db37600-gzip%22	https://koki.dexignzone.com/xhtml/chart-sparkline.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-sparkline.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:29	70059/70059	---M-Z	200	added ('OK')	text/html	etag:%22111ab-5d59d0db37600-gzip%22	https://koki.dexignzone.com/xhtml/chart-peity.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/chart-peity.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:29	97452/97452	---M-Z	200	added ('OK')	text/html	etag:%2217cac-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-accordion.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-accordion.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:30	138992/138992	---M-Z	200	added ('OK')	text/html	etag:%2221ef0-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-alert.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-alert.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:30	73905/73905	---M-Z	200	added ('OK')	text/html	etag:%22120b1-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-badge.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-badge.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:30	86157/86157	---M-Z	200	added ('OK')	text/html	etag:%221508d-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-button.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-button.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:30	76363/76363	---M-Z	200	added ('OK')	text/html	etag:%2212a4b-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-modal.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-modal.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:31	66257/66257	---M-Z	200	added ('OK')	text/html	etag:%22102d1-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-button-group.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-button-group.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:31	74440/74440	---M-Z	200	added ('OK')	text/html	etag:%22122c8-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/ui-list-group.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/ui-list-group.html	(from https://koki.dexignzone.com/xhtml/index.html)
